product_id,category
1,Toys
2,Toys
3,Books
4,Electronis
5,Toys
6,Books
7,Home
8,Electronis
9,Home
10,Books
11,Clothing
12,Electronis
13,Toys
14,Toys
15,Books
16,Books
17,Books
18,Books
19,Clothing
20,Toys
21,Electronis
22,Clothing
23,Toys
24,Home
25,Books
26,Home
27,Toys
28,Toys
29,Home
30,Home
31,Clothing
32,Clothing
33,Home
34,Toys
35,Clothing
36,Home
37,Electronis
38,Electronis
39,Toys
40,Toys
41,Clothing
42,Home
43,Home
44,Toys
45,Toys
46,Books
47,Toys
48,Books
49,Books
50,Home
51,Home
52,Toys
53,Home
54,Home
55,Toys
56,Electronis
57,Home
58,Electronis
59,Electronis
60,Toys
61,Electronis
62,Books
63,Electronis
64,Electronis
65,Home
66,Clothing
67,Clothing
68,Electronis
69,Home
70,Electronis
71,Books
72,Toys
73,Toys
74,Toys
75,Toys
76,Toys
77,Home
78,Books
79,Home
80,Home
81,Toys
82,Electronis
83,Books
84,Home
85,Electronis
86,Electronis
87,Clothing
88,Home
89,Clothing
90,Clothing
91,Books
92,Books
93,Electronis
94,Home
95,Home
96,Toys
97,Home
98,Electronis
99,Electronis
100,Books
101,Toys
102,Books
103,Electronis
104,Toys
105,Clothing
106,Clothing
107,Clothing
108,Clothing
109,Toys
110,Books
111,Books
112,Clothing
113,Home
114,Electronis
115,Toys
116,Clothing
117,Toys
118,Electronis
119,Clothing
120,Electronis
121,Clothing
122,Home
123,Toys
124,Clothing
125,Toys
126,Electronis
127,Toys
128,Home
129,Electronis
130,Books
131,Books
132,Electronis
133,Books
134,Electronis
135,Electronis
136,Home
137,Toys
138,Books
139,Clothing
140,Toys
141,Home
142,Home
143,Electronis
144,Electronis
145,Clothing
146,Clothing
147,Toys
148,Books
149,Books
150,Clothing
151,Home
152,Home
153,Home
154,Electronis
155,Clothing
156,Home
157,Electronis
158,Home
159,Books
160,Electronis
161,Clothing
162,Electronis
163,Electronis
164,Home
165,Home
166,Electronis
167,Toys
168,Books
169,Toys
170,Electronis
171,Toys
172,Clothing
173,Home
174,Clothing
175,Toys
176,Electronis
177,Clothing
178,Electronis
179,Clothing
180,Books
181,Clothing
182,Home
183,Books
184,Toys
185,Home
186,Books
187,Clothing
188,Home
189,Clothing
190,Home
191,Clothing
192,Toys
193,Home
194,Home
195,Home
196,Electronis
197,Electronis
198,Electronis
199,Home
200,Electronis
201,Books
202,Toys
203,Electronis
204,Toys
205,Electronis
206,Books
207,Toys
208,Electronis
209,Clothing
210,Books
211,Clothing
212,Clothing
213,Electronis
214,Clothing
215,Clothing
216,Home
217,Electronis
218,Toys
219,Clothing
220,Home
221,Home
222,Home
223,Toys
224,Toys
225,Books
226,Books
227,Home
228,Electronis
229,Clothing
230,Electronis
231,Books
232,Home
233,Home
234,Clothing
235,Electronis
236,Books
237,Home
238,Clothing
239,Home
240,Home
241,Home
242,Books
243,Books
244,Toys
245,Toys
246,Toys
247,Clothing
248,Electronis
249,Toys
250,Clothing
251,Books
